:: start

Filling Terrain array...
 Terrain[0][0] = BUILDING
 Terrain[0][1] = BUILDING
 Terrain[0][2] = PARK
 Terrain[0][3] = RIVER
 Terrain[0][4] = BUILDING
 Terrain[0][5] = PARK
 Terrain[0][6] = BUILDING
 Terrain[0][7] = BUILDING
 Terrain[0][8] = BUILDING
 Terrain[0][9] = BUILDING
 Terrain[0][10] = RIVER
 Terrain[0][11] = PARK
 Terrain[0][12] = BUILDING
 Terrain[0][13] = BUILDING
 Terrain[0][14] = BUILDING
 Terrain[0][15] = BUILDING
 Terrain[0][16] = BUILDING
 Terrain[0][17] = RIVER
 Terrain[0][18] = BUILDING
 Terrain[0][19] = RIVER
 Terrain[0][20] = BUILDING
 Terrain[0][21] = PARK
 Terrain[0][22] = PARK
 Terrain[0][23] = BUILDING
 Terrain[0][24] = BUILDING
 Terrain[0][25] = BUILDING
 Terrain[0][26] = RIVER
 Terrain[0][27] = PARK
 Terrain[0][28] = BUILDING
 Terrain[0][29] = BUILDING
 Terrain[0][30] = RIVER
 Terrain[0][31] = BUILDING
 Terrain[0][32] = BUILDING
 Terrain[0][33] = BUILDING
 Terrain[0][34] = BUILDING
 Terrain[0][35] = BUILDING
 Terrain[0][36] = PARK
 Terrain[0][37] = PARK
 Terrain[0][38] = BUILDING
 Terrain[0][39] = BUILDING
 Terrain[0][40] = PARK
 Terrain[0][41] = BUILDING
 Terrain[0][42] = BUILDING
 Terrain[0][43] = BUILDING
 Terrain[0][44] = BUILDING
 Terrain[0][45] = PARK
 Terrain[0][46] = BUILDING
 Terrain[0][47] = BUILDING
 Terrain[0][48] = BUILDING
 Terrain[1][0] = BUILDING
 Terrain[1][1] = BUILDING
 Terrain[1][2] = RIVER
 Terrain[1][3] = BUILDING
 Terrain[1][4] = BUILDING
 Terrain[1][5] = BUILDING
 Terrain[1][6] = BUILDING
 Terrain[1][7] = BUILDING
 Terrain[1][8] = PARK
 Terrain[1][9] = PARK
 Terrain[1][10] = BUILDING
 Terrain[1][11] = RIVER
 Terrain[1][12] = BUILDING
 Terrain[1][13] = BUILDING
 Terrain[1][14] = BUILDING
 Terrain[1][15] = BUILDING
 Terrain[1][16] = BUILDING
 Terrain[1][17] = BUILDING
 Terrain[1][18] = BUILDING
 Terrain[1][19] = BUILDING
 Terrain[1][20] = RIVER
 Terrain[1][21] = BUILDING
 Terrain[1][22] = PARK
 Terrain[1][23] = PARK
 Terrain[1][24] = PARK
 Terrain[1][25] = BUILDING
 Terrain[1][26] = BUILDING
 Terrain[1][27] = BUILDING
 Terrain[1][28] = BUILDING
 Terrain[1][29] = BUILDING
 Terrain[1][30] = BUILDING
 Terrain[1][31] = PARK
 Terrain[1][32] = PARK
